,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,Bandwidth_GB_Year,Area_Suburban,Area_Urban,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Churn_Yes,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
4847,48905,0,63,27506.01,10.45539,14,1,1,9.525184,820.0423101,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
9992,4261,1,18,35876.21,9.212992999999999,15,2,0,56.47233000000001,5001.371216,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0
4621,10218,1,27,43148.68,10.52558,9,0,0,2.611838,320.1072613,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0
5774,54601,4,41,35600.06,11.03469,17,0,0,58.78686999999999,5562.051941,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
9294,1796,4,20,146719.5,11.301210000000001,16,0,0,64.11559,6511.608523,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0
1085,40019,0,75,20840.13,8.825929291,8,0,1,17.48396291,1671.835787,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
1073,2857,1,64,81748.07,13.77280014,5,1,0,16.64037206,1996.643218,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
950,26736,1,25,113086.55,13.18785324,16,3,1,2.253077812,534.5843758000001,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
9512,13475,3,68,41508.2,7.763803,14,1,0,68.20701,5953.612372,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0
3773,39309,1,76,29614.14,14.908439999999999,6,0,0,4.745801,1236.530575,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1
6474,136,0,82,56960.58,14.57952,16,0,0,60.6238,5450.679529999999,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
6976,53866,1,84,71546.23,7.446688000000001,15,1,0,48.29423,4697.742817,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1
5715,35087,0,71,36171.71,9.638183,18,2,0,54.78051,5151.21569,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0
9164,2912,3,81,19645.07,10.94239,12,2,0,69.62503000000001,5934.090437,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
4971,417,2,76,38599.07,7.178201,13,2,1,14.74826,2174.446655,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
230,24438,1,35,52129.84,9.513085538,10,1,0,5.049303717,1662.510936,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0
9924,6637,3,23,67050.85,7.764846,14,0,2,67.09737,6335.700634000001,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0
4655,440,8,38,25707.64,11.08933,11,0,0,8.512387,1292.6070650000001,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
1094,282,0,83,9843.69,9.646498667000001,12,2,1,6.7912707139999995,1103.633086,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
1729,1897,0,78,2488.36,7.446156322,15,2,0,6.0276480470000005,1135.519834,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0
1556,839,3,75,13389.11,10.3868905,11,0,0,11.32593703,1380.8933869999998,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0
9253,905,6,21,49241.33,10.30157,14,0,1,65.85661999999999,6484.077095000001,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
8955,4739,9,21,18978.48,9.410557,10,0,0,51.53504,4979.515394,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1
1443,33,4,50,29216.14,9.047716037,9,0,1,7.840871292,1173.415489,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0
5439,630,1,59,113028.1,11.3049,10,1,1,52.79234,5072.66967,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0
1234,1202,2,77,11113.69,12.834837400000001,14,0,1,9.417609509,976.910308,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0
9744,1420,1,85,2566.07,11.124239999999999,13,4,1,57.1358,5277.7097109999995,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
9373,2310,10,55,8936.79,8.106295,13,2,0,63.279230000000005,6211.784272999999,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0
460,3191,2,80,99482.26,12.94031641,12,2,0,9.461939857,1267.634616,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0
3118,25,1,43,44039.11,11.02812,14,1,2,11.00718,1373.225547,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
6742,73891,0,30,9444.74,11.44018,6,1,1,65.66391999999999,5888.4149689999995,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1
3425,34056,2,23,24979.03,6.330446,14,1,0,5.685414,1812.910095,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
9303,1375,2,54,32410.95,11.66727,10,0,0,60.36923,5532.984193,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0
2319,10189,2,87,20648.53,5.099569,16,0,0,6.1376919999999995,767.624909,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0
2117,1906,2,23,78026.55,2.902962,13,1,0,5.0034089999999996,1106.910603,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0
881,313,3,73,32746.0,11.90094641,8,0,0,5.295927221,1109.108163,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1
5002,365,1,20,62174.76,8.081800999999999,11,0,1,61.5999,5579.99579,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1
1475,2348,4,60,89037.69,5.771579921,7,1,0,10.404813,1556.1087890000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
8780,13712,4,39,19869.24,13.347929999999998,8,2,0,60.72006999999999,5385.46775,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
3945,29020,7,78,17667.81,8.993714,10,0,0,25.43212,2864.5539940000003,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1
4813,21480,2,34,33426.12,8.885438,10,2,0,29.586579999999998,3041.355145,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
5324,5497,9,41,26043.65,13.4417,12,0,1,47.1075,4574.099765999999,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0
2502,1583,1,19,7332.51,14.06909,8,3,0,24.14282,2391.497324,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0
9477,166,1,34,47077.88,10.28962,12,1,1,61.54459,6284.948965,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0
7352,10034,3,68,16657.89,10.36617,13,0,0,66.86350999999999,5766.235014,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0
725,3895,3,32,52856.4,9.730159336,11,1,0,9.820011726,1596.7077550000001,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
134,610,2,59,76567.85,5.258274954,8,1,0,9.482919033,886.9398743999999,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
6470,3639,0,29,59138.75,9.175781,12,2,0,68.03515,6540.915805,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0
1,10446,1,27,21704.77,11.69907956,12,0,1,1.156680997,800.9827661,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
6331,34794,3,77,52290.12,9.799425999999999,13,0,1,69.48178,6035.567594,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0
3750,19255,2,76,38186.34,14.66477,13,0,0,16.05745,1943.981469,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
2052,10424,2,87,48476.58,12.13919,7,4,1,2.051657,1187.7166619999998,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
291,61045,2,82,68122.23,9.22949351,18,0,0,18.953705300000003,1746.405243,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0
2788,916,1,49,38764.7,8.73353,9,1,1,6.487048000000001,655.1704765,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
3107,218,2,31,80392.41,9.736413,9,1,1,7.53282,1403.8333910000001,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
3473,2889,4,76,42496.34,8.346860000000001,14,0,0,5.318865,1163.746203,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1
843,1916,2,60,48525.16,8.096814587999999,14,1,0,5.130341596,1404.9748880000002,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1
8497,35643,0,37,20406.36,8.849924,10,0,0,51.58987,4608.506607,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0
5643,8419,0,78,72121.31,7.291041000000001,8,3,0,67.93290999999999,6131.484263,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0
6151,32096,4,89,25195.84,6.900377000000001,11,0,0,44.759640000000005,4170.169733,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
2631,11885,4,18,18377.18,13.420370000000002,7,0,0,1.84687,464.43508319999995,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
3579,101,3,58,29334.74,11.054310000000001,14,1,1,13.333829999999999,1312.812193,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
3245,188,1,23,77235.23,11.07961,14,3,0,16.238529999999997,2024.875698,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
7463,1518,1,55,81149.0,6.209465,12,1,0,55.19347,4934.723127,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
683,26601,0,76,19288.27,11.97665938,12,1,0,7.847288476,625.2785223,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
9333,1389,0,25,27474.27,3.671674,6,3,0,69.69574,6529.773925,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
2562,764,3,67,23481.88,6.923674,12,0,0,18.81683,1907.2064899999998,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1
7939,10856,3,68,5512.35,8.677024000000001,12,0,1,64.91404,5921.680845,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
8845,204,1,63,6025.06,12.99584,10,3,0,53.60305,4863.296507999999,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
5430,492,1,39,64799.95,10.57648,10,2,0,67.39149,6182.666346,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
2878,78,0,77,89957.16,10.32418,12,0,0,6.6307,765.1823242,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
868,1634,1,63,38378.12,19.08168517,14,2,0,8.791194482,1040.933456,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
6053,18625,1,24,26217.35,11.27862,8,1,0,48.02057,4619.4881159999995,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
9977,12562,4,51,117089.4,13.872860000000001,8,1,0,66.25635,6703.314017000001,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0
