,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Suburban,Area_Urban,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Churn_Yes,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
0,38,0,68,28561.99,7.9783229470000006,10,0,1,6.795512947000001,172.45551899999998,904.5361101999999,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0
1,10446,1,27,21704.77,11.69907956,12,0,1,1.156680997,242.632554,800.9827661,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
2,3735,4,50,9609.57,10.75280028,9,0,1,15.75414408,159.947583,2054.706961,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
3,13863,1,48,18925.23,14.91353964,15,2,0,17.08722662,119.95683999999999,2164.579412,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
4,11352,0,83,40074.19,8.147416533,16,2,1,1.6709717259999999,149.948316,271.49343619999996,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
5,17701,3,83,22660.2,8.420992898,15,3,1,7.000993555,185.007692,1039.357983,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
6,2535,0,79,11467.5,11.18272453,10,0,1,13.23677381,200.118516,1907.2429719999998,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0
7,23144,2,30,26759.64,7.791632265,16,0,0,4.26425515,114.950905,979.6127078,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
8,17351,2,49,58634.51,5.739005915,20,2,3,8.220686373,117.46859099999999,1312.874964,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
9,20193,1,86,50231.4,8.707823904,18,1,0,3.4220861389999997,162.48269399999998,508.7637913,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
