,MonthlyCharge
4847,92.48801999999999
9992,137.4392
4621,124.9643
5774,139.983
9294,255.1198
1085,202.443347
1073,142.468917
950,150.006987
9512,169.9378
3773,194.9663
6474,127.4738
6976,194.9525
5715,132.466
9164,104.9629
4971,232.62400000000002
230,267.642733
9924,220.1615
4655,179.9476
1094,139.951231
1729,154.991856
1556,172.487091
9253,172.4705
8955,182.4653
1443,182.47622900000002
5439,129.9915
1234,172.51044199999998
9744,119.9568
9373,162.497
460,252.62402999999998
3118,172.4579
6742,172.4871
3425,270.1604
9303,220.1323
2319,139.9792
2117,197.6288
881,152.47417
5002,169.9671
1475,222.649979
8780,192.4885
3945,252.6378
4813,114.9509
5324,162.4526
2502,162.4713
9477,257.6375
7352,162.5007
725,159.947583
134,112.455141
6470,187.4673
1,242.632554
6331,172.4624
3750,117.4392
2052,242.6106
291,169.974105
2788,102.4746
3107,149.9378
3473,129.9621
843,212.64145499999998
8497,194.9699
5643,252.6378
6151,127.4601
2631,137.4872
3579,157.4698
3245,147.4564
7463,162.4827
683,112.484375
9333,129.9621
2562,184.9647
7939,107.4958
8845,217.4702
5430,197.6288
2878,169.9447
868,127.458638
6053,127.4421
9977,245.1283
5658,127.4738
6967,179.9476
6152,199.9902
6776,192.4885
8838,242.6573
5539,125.0073
7466,137.4392
1382,130.024412
5235,114.9728
2179,137.4392
5501,139.9979
7247,172.4742
8389,79.97886
1796,235.137219
4914,144.9889
7106,139.965
2362,127.48200000000001
1610,172.45674499999998
4634,187.6094
9571,159.9656
3114,159.9476
3965,200.1323
3929,124.9643
4288,175.0062
9756,137.4392
5638,129.9915
3976,220.1185
4018,194.9663
6688,117.4858
8999,129.9763
9901,222.6143
2596,162.4937
9802,124.9607
4567,172.4733
416,127.460067
3286,182.4608
7379,230.1344
2473,194.9525
6469,197.6288
1482,129.96209299999998
3975,287.6427
5034,212.6415
8525,184.9785
7347,230.1344
27,139.98157700000002
5794,162.5299
363,159.965008
4733,182.4833
177,207.609354
2932,157.4836
5412,162.5007
5379,152.4624
5578,162.4653
431,184.97845800000002
4855,227.4754
6703,202.65
9000,157.4836
8044,112.4844
5401,114.9838
5877,114.9509
752,195.006206
6235,262.6106
4175,124.9607
7529,270.1604
8400,169.9671
9870,114.9728
6802,120.0035
8374,162.447
2192,159.9476
3517,114.9509
4624,79.97886
5195,255.1665
1788,247.66465499999998
9768,245.1283
1055,232.64145499999998
5676,92.5018
421,162.460772
8441,112.4844
4643,124.9607
268,220.11486800000003
25,92.455141
7309,207.6094
8886,182.4676
2360,169.9378
3018,182.4653
6543,174.9699
8169,182.4538
336,124.960655
9690,129.995
206,174.975543
6049,154.9618
4493,177.6508
8322,210.127
6219,172.4848
3427,192.4567
7345,174.9919
9813,129.9778
3641,137.4872
8180,204.9634
3746,287.6427
162,139.93491799999998
4752,152.4441
2295,210.1051
8188,140.0013
2075,184.9853
2264,127.475
6321,192.4404
5416,232.62400000000002
2375,149.9483
6893,190.127
1901,94.972827
4842,212.6415
2836,152.4884
6289,112.4551
1303,164.98894099999998
400,220.11851600000003
415,200.165175
3066,202.4433
1823,114.972827
1105,152.45551899999998
1975,204.97968400000002
5597,107.4806
9220,220.1323
7930,147.4893
4702,225.1457
